volume,dice,iou,precision,recall,accuracy
mv01,0.9425701103139805,0.8922715539053052,0.9521620580241482,0.935828408569898,0.9812857887961648
mv03,0.9201792911497033,0.8523397494325795,0.9345792660110794,0.9071488304241369,0.9950584769248962
mv05,0.8832263496214257,0.7919026945125134,0.8171509105039703,0.9622188370361647,0.9930180831694267
mv06,0.7336677384046664,0.5827223188897059,0.5856993390854723,0.9922661577922828,0.9906687269023821
mv07,0.8761970877799139,0.7807588621985374,0.8987664709628658,0.8615237659486287,0.9908932430643431
mv08,0.7436478591255463,0.6007305954715412,0.6159384953571759,0.9759415183761359,0.9862995521695006
mv09,0.7154564791991292,0.5599691134861993,0.7756978822739721,0.6652358823103585,0.9785442606608072
mv10,0.8685110987661062,0.7694311237471999,0.8206755458350368,0.9243967602346034,0.9887448920578253
mv11,0.8555349062166638,0.7517094211847102,0.8077933483463021,0.9278359441287225,0.9869697343057661
mv13,0.8531749955199204,0.7459299155510067,0.7758138811282294,0.9544584897883371,0.9902573662835199
mv14,0.8015169353952513,0.6723692671814642,0.6897633384527297,0.9660605382399027,0.9887069974626813
mv15,0.8664322569308692,0.7659355345355426,0.8118522486382463,0.9370036276361973,0.9885600163386419
mv16,0.7198454931405843,0.570618689794576,0.5830007687649832,0.9753789463539013,0.9841250884227264
mv17,0.839165764132452,0.7241729057524051,0.7511645382501833,0.954486599722926,0.9917578560965402
mv18,0.7573922029893041,0.6105774387736502,0.6216155824342605,0.9765409349896748,0.9913780398485137
mv19,0.9090982990206393,0.8339319220287129,0.9351177162713885,0.8861222342447288,0.9899220322117661
mv20,0.8808568822652043,0.79080942860082,0.8773391588928868,0.8989319280684517,0.974504163188319
mv24,0.865137302695941,0.7663935057472957,0.9527981079679991,0.7993502285558526,0.9888989288027924
mv25,0.7979946168494625,0.6684160070862784,0.9303857121862372,0.7019250113572127,0.9824446912081737
mv26,0.8751860782752157,0.7833956046359518,0.8304877597572399,0.9361591009305074,0.9867393053494967
mv27,0.8866399673029981,0.7999505995249612,0.8292946601861563,0.9615494606975663,0.9889203295295621
mv28,0.903877277019704,0.8258975873344626,0.8724795879574322,0.9440380398102126,0.9881101909436678
mv29,0.8717487784639606,0.7774375484185746,0.8294333754214018,0.9228695886368475,0.9866914537217882
mv30,0.8782824156376956,0.7840616718115561,0.823185053820004,0.9463324218960794,0.9813298825864438
mv31,0.8455706632900197,0.7380662896635525,0.7974231412511171,0.913820245754346,0.9781864711216518
mv32,0.8640227492119353,0.7618855277366815,0.8134872066824707,0.9243674137726446,0.9834278869628906
